PARENT_MOLREGNO	CHEMBL_ID	SYNONYMS	DEVELOPMENT_PHASE	RESEARCH_CODES	APPLICANTS	USAN_STEM	USAN_STEM_DEFINITION	USAN_STEM_SUBSTEM	USAN_YEAR	FIRST_APPROVAL	ATC_CODE	ATC_CODE_DESCRIPTION	INDICATION_CLASS	SC_PATENT_NO	DRUG_TYPE	RULE_OF_FIVE	FIRST_IN_CLASS	CHIRALITY	PRODRUG	ORAL	PARENTERAL	TOPICAL	BLACK_BOX	AVAILABILITY_TYPE	CANONICAL_SMILES
1381226	CHEMBL2108960	Hemocoagulase (JAN)				-ase	enzymes	-ase							Enzyme	N	N	Single Stereoisomer	N						
1380182	CHEMBL2107916	Orange Peel, Bitter (JAN)													Unknown	N	N	Single Stereoisomer	N						
1380251	CHEMBL2107985	Soap, Green (USP)											Detergent		Unknown	N	N	Single Stereoisomer	N						
1381082	CHEMBL2108816	Yellow Fever Vaccine (USP)			Bristol-Myers Squibb						J07BL01	J07BL01 [Antiinfectives For Systemic Use:Vaccines:Viral Vaccines:Yellow fever vaccines]	Immunizing Agent (active)		Unknown	N	N	Single Stereoisomer	N						
1380584	CHEMBL2108318	Elsiglutide (INN)				-tide	peptides: GLP peptide analogs	-tide (-glutide)							Oligopeptide	N	N	Single Stereoisomer	N						
1383472	CHEMBL2111032	Noracymethadol (BAN, INN); Noracymethadol HCl (USAN)		30109; NIH-7667	Lilly	-adol	analgesics (mixed opiate receptor agonists/antagonists)	-adol	1963				Analgesic		Synthetic Small Molecule	Y	N	Racemic Mixture	N						CCC(OC(=O)C)C(CC(C)NC)(c1ccccc1)c2ccccc2
641924	CHEMBL1160385	Guanacline (BAN, INN); Guanacline Sulfate (USAN)		B-1464	Bayer	guan-	antihypertensives (guanidine derivatives)	guan-	1968				Antihypertensive		Synthetic Small Molecule	Y	N	Achiral Molecule	N						CC1=CCN(CCNC(=N)N)CC1
1383246	CHEMBL2110806	Calcium Pantothenate, Racemic (USP)											Vitamin (enzyme co-factor)		Synthetic Small Molecule	Y	N	Racemic Mixture	N						CC(C)(CO)C(O)C(=O)NCCC(=O)O
1377759	CHEMBL2105489	Sopitazine (INN)													Synthetic Small Molecule	Y	N	Achiral Molecule	N						CC(C)N1CCN(CC1)C(=O)N2c3ccccc3Sc4ccccc24
1377361	CHEMBL2105091	Molfarnate (INN)													Synthetic Small Molecule	N	N	Achiral Molecule	N						CC(=CCC\C(=C\CC\C(=C\COC(=O)C\C=C(/C)\CC\C=C(/C)\CCC=C(C)C)\C)\C)C
1376356	CHEMBL2104086	Cifostodine (INN)													Natural Product-derived	Y	N	Racemic Mixture	N						NC1=NC(=O)N(C=C1)[C@@H]2O[C@H](CO)[C@H]3OP(=O)(O)O[C@@H]23
1378627	CHEMBL2106357	Florantyrone (BAN, INN, MI)													Synthetic Small Molecule	Y	N	Achiral Molecule	N						OC(=O)CCC(=O)c1ccc2c3cccc4cccc(c2c1)c34
1379896	CHEMBL2107626	Traboxopine (INN)				-pin(e)	tricyclic compounds	-pin(e)							Synthetic Small Molecule	Y	N	Racemic Mixture	N						CC(CN(C)C)CN1c2ccccc2OCOc3ccc(Cl)cc13
1376132	CHEMBL2103862	Bavisant (INN, USAN); Bavisant Dihydrochloride (USAN)		JNJ-31001074; JNJ-31001074-AAC	Johnson & Johnson	-isant	histamine H3 receptor antagonists	-isant	2010						Synthetic Small Molecule	Y	N	Achiral Molecule	N						O=C(N1CCN(CC1)C2CC2)c3ccc(CN4CCOCC4)cc3
1046000	CHEMBL1623049	Butetamate (BAN, INN, MI)		HH105											Synthetic Small Molecule	Y	N	Racemic Mixture	N						CCC(C(=O)OCCN(CC)CC)c1ccccc1
1376385	CHEMBL2104115	Ciapilome (INN)													Synthetic Small Molecule	Y	N	Achiral Molecule	N						CC(=O)NN1C=NC(=O)C(=C1)C#N
1378317	CHEMBL2106047	Ethoxazorutoside (DCF, INN)													Natural Product-derived	N	N	Single Stereoisomer	N						C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](OC3=C(Oc4cc(OCCN5CCOCC5)cc(O)c4C3=O)c6ccc(O)c(O)c6)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O
1379757	CHEMBL2107487	Tefenperate (INN)													Synthetic Small Molecule	N	N	Achiral Molecule	N						CC(=O)OC(Cc1ccccc1Cl)(Cc2ccccc2Cl)C(=O)OCCN3C(C)(C)CCCC3(C)C
1376907	CHEMBL2104637	Aloracetam (INN)				-racetam	nootropes (piracetam type)	-racetam							Synthetic Small Molecule	Y	N	Achiral Molecule	N						CC(=O)NCCn1c(C)cc(C=O)c1C
1376948	CHEMBL2104678	Azintamide (INN, MI)		ST-9067											Synthetic Small Molecule	Y	N	Achiral Molecule	N						CCN(CC)C(=O)CSc1ccc(Cl)nn1
1383481	CHEMBL2111041	Pyruvic Acid Calcium Isoniazid (JAN)													Synthetic Small Molecule	Y	N	Achiral Molecule	N						C\C(=N/NC(=O)c1ccncc1)\C(=O)O
1383480	CHEMBL2111040	Neflumozide (INN); Neflumozide HCl (USAN)		HRP-913; P-793913	Hoechst-Roussel				1986				Antipsychotic		Synthetic Small Molecule	Y	N	Achiral Molecule	N						Fc1ccc2c(CCCN3CCC(CC3)N4C(=O)Nc5ccccc45)noc2c1
1377018	CHEMBL2104748	Tibric Acid (BAN, INN, USAN)		CP-18524	Pfizer				1973				Antihyperlipoproteinemic		Synthetic Small Molecule	Y	N	Single Stereoisomer	N						C[C@@H]1C[C@H](C)CN(C1)S(=O)(=O)c2ccc(Cl)c(c2)C(=O)O
1376636	CHEMBL2104366	Ketorfanol (INN, USAN)		SBW-22					1983				Analgesic		Synthetic Small Molecule	Y	N	Single Stereoisomer	N						Oc1cccc2C[C@@H]3[C@@H]4CCC(=O)C[C@]4(CCN3CC5CC5)c12
1376229	CHEMBL2103959	Gitoformate (INN)									C01AA09	C01AA09 [Cardiovascular System:Cardiac Therapy:Cardiac Glycosides:Digitalis glycosides]			Natural Product-derived	N	N	Single Stereoisomer	N						C[C@H]1O[C@H](C[C@H](OC=O)[C@@H]1OC=O)O[C@@H]2[C@@H](C)O[C@H](C[C@@H]2OC=O)O[C@@H]3[C@@H](C)O[C@H](C[C@@H]3OC=O)O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]7(C)[C@H]([C@H](C[C@]67O)OC=O)C8=CC(=O)OC8)C4
1377374	CHEMBL2105104	Lodazecar (INN)													Synthetic Small Molecule	N	N	Single Stereoisomer	N						C[C@@H]1N=C(c2ccccc2Cl)c3c(Br)c(NC(=O)NC(C)(CO)CO)ccc3N(C)C1=O
1379998	CHEMBL2107728	Asoprisnil Ecamate (INN)				-prisnil	selective progesterone receptor modulators (SPRM)	-prisnil							Natural Product-derived	N	N	Single Stereoisomer	N						CCNC(=O)O\N=C\c1ccc(cc1)[C@H]2C[C@@]3(C)[C@@H](CC[C@]3(COC)OC)[C@@H]4CCC5=CC(=O)CCC5=C24
1376018	CHEMBL2103748	Cilofungin (INN, USAN)			Lilly	-fungin	antifungal antibiotics (undefined group)	-fungin	1989				Antifungal		Natural Product-derived	N	N	Single Stereoisomer	N						CCCCCCCCOc1ccc(cc1)C(=O)N[C@H]2C[C@@H](O)[C@@H](O)NC(=O)[C@@H]3[C@@H](O)[C@@H](C)CN3C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H]4C[C@@H](O)CN4C(=O)[C@@H](NC2=O)[C@@H](C)O)[C@H](O)[C@@H](O)c5ccc(O)cc5)[C@@H](C)O
1377159	CHEMBL2104889	Pirsidomine (INN, USAN)		Cas 936	Hoechst-Roussel	-sidomine	antianginals (sydnone derivatives)	-sidomine	1993				Vasodilator		Synthetic Small Molecule	Y	N	Single Stereoisomer	N						COc1ccc(cc1)C(=O)\N=C\2/[CH-][N+](=NO2)N3[C@H](C)CCC[C@@H]3C
1376360	CHEMBL2104090	Acefurtiamine (INN)													Synthetic Small Molecule	Y	N	Achiral Molecule	N						CC(=O)OCC(=O)OCC\C(=C(/C)\N(Cc1cnc(C)nc1N)C=O)\SC(=O)c2occc2
1378379	CHEMBL2106109	Botiacrine (INN)				-crine	acridine derivatives	-crine							Synthetic Small Molecule	Y	N	Achiral Molecule	N						CN(C)CCSC(=O)N1c2ccccc2C(C)(C)c3ccccc13
1377523	CHEMBL2105253	Piraxelate (INN)													Synthetic Small Molecule	Y	N	Racemic Mixture	N						CC1CC(CC(C)(C)C1)OC(=O)CN2CCCC2=O
1379794	CHEMBL2107524	Ipragratine (INN)													Synthetic Small Molecule	Y	N	Racemic Mixture	N						CC(C)N1[C@@H]2CCC[C@@H]1CC(C2)OC(=O)C(CO)c3ccccc3
1378520	CHEMBL2106250	Dextrofemine (DCF, INN); Racefemine (DCF, INN, MI)		CB-3697											Synthetic Small Molecule	Y	N	Racemic Mixture	N						CC(COc1ccccc1)NC(C)Cc2ccccc2
1379431	CHEMBL2107161	Lodoxamide (BAN, INN); Lodoxamide Ethyl (USAN)		U-42718					1978				Anti-Allergic; Anti-Asthmatic		Synthetic Small Molecule	Y	N	Achiral Molecule	N						CCOC(=O)C(=O)Nc1cc(cc(NC(=O)C(=O)OCC)c1Cl)C#N
1376857	CHEMBL2104587	Dulozafone (INN)													Synthetic Small Molecule	Y	N	Achiral Molecule	N						CN(C(=O)CN(CCO)CCO)c1ccc(Cl)cc1C(=O)c2ccccc2Cl
1376192	CHEMBL2103922	Benzquercin (INN)													Synthetic Small Molecule	N	N	Achiral Molecule	N						O=C1C(=C(Oc2cc(OCc3ccccc3)cc(OCc4ccccc4)c12)c5ccc(OCc6ccccc6)c(OCc7ccccc7)c5)OCc8ccccc8
1379710	CHEMBL2107440	Flumecinol (INN, MI)													Synthetic Small Molecule	Y	N	Racemic Mixture	N						CCC(O)(c1ccccc1)c2cccc(c2)C(F)(F)F
1377716	CHEMBL2105446	Sevopramide (INN)													Synthetic Small Molecule	Y	N	Racemic Mixture	N						CCCN(CCC)C(=O)C(Cc1ccc(OCCCN(CC)CC)cc1)NC(=O)c2ccccc2
1378704	CHEMBL2106434	Mirosamicin (INN)				-micin	antibiotics (Micromonospora strains)	-micin							Natural Product-derived	N	N	Single Stereoisomer	N						CC[C@H]1OC(=O)\C=C\[C@H](C)[C@@H](O[C@H]2O[C@@H](C)C[C@H]([C@@H]2O)N(C)C)[C@@H](C)C[C@@H](C)C(=O)\C=C\[C@@H]3O[C@H]3[C@]1(O)CO[C@@H]4O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]4OC
1376858	CHEMBL2104588	Cythioate (BAN)													Synthetic Small Molecule	Y	N	Achiral Molecule	N						COP(=S)(OC)Oc1ccc(cc1)S(=O)(=O)N
1376710	CHEMBL2104440	Subendazole (DCF, INN)		CB-12592		-bendazole	anthelmintics (tibendazole type)	-bendazole							Synthetic Small Molecule	N	N	Achiral Molecule	N						CSc1nsc(Sc2nc3c(Cl)c(Cl)cc(Cl)c3[nH]2)n1
1378590	CHEMBL2106320	Hydroxyprocaine (BAN, DCF, INN, MI)				-caine	local anesthetics	-caine							Synthetic Small Molecule	Y	N	Achiral Molecule	N						CCN(CC)CCOC(=O)c1ccc(N)cc1O
1383030	CHEMBL2110590	Streptoniazid (INN, BAN); Streptonicozid (USAN)			Pfizer				1961				Antibacterial		Natural Product-derived	N	N	Single Stereoisomer	N						CN[C@H]1[C@H](O)[C@@H](O)[C@H](CO)O[C@H]1O[C@H]2[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](NC(=N)N)[C@@H](O)[C@@H]3NC(=N)N)O[C@@H](C)[C@]2(O)\C=N\NC(=O)c4ccncc4
1383145	CHEMBL2110705	Pyrrolifene (INN); Pyrroliphene HCl (USAN)		31518	Lilly				1965				Analgesic		Synthetic Small Molecule	Y	N	Racemic Mixture	N						CC(CN1CCCC1)C(Cc2ccccc2)(OC(=O)C)c3ccccc3
1383587	CHEMBL2111147	Zatosetron (BAN, INN); Zatosetron Maleate (USAN)		LY-277359	Lilly	-setron	serotonin 5-HT3 antagonists	-setron	1990				Antimigraine		Synthetic Small Molecule	Y	N	Single Stereoisomer	N						CN1[C@@H]2CC[C@H]1C[C@H](C2)NC(=O)c3cc(Cl)cc4CC(C)(C)Oc34
80837	CHEMBL299233	Talopram (INN); Talopram HCl (USAN)		AY-21554; LU-301O					1973				Potentiator (catecholamine)		Synthetic Small Molecule	Y	N	Racemic Mixture	N						CNCCCC1(OC(C)(C)c2ccccc12)c3ccccc3
1383597	CHEMBL2111157	Dipipanone (BAN, INN); Dipipanone HCl (MI)													Synthetic Small Molecule	N	N	Racemic Mixture	N						CCC(=O)C(CC(C)N1CCCCC1)(c2ccccc2)c3ccccc3
359952	CHEMBL214920	Tiocarlide (BAN, DCF, INN, MI)		DATC							J04AD02	J04AD02 [Antiinfectives For Systemic Use:Antimycobacterials:Drugs For Treatment Of Tuberculosis:Thiocarbamide derivatives]			Synthetic Small Molecule	N	N	Achiral Molecule	N						CC(C)CCOc1ccc(NC(=S)Nc2ccc(OCCC(C)C)cc2)cc1
40542	CHEMBL266481	Glucagon (BAN, INN, JAN, USP); Glucagon Recombinant (FDA)	4		Eli Lilly And Co					1998	H04AA01	H04AA01 [Systemic Hormonal Preparations, Excl. :Pancreatic Hormones:Glycogenolytic Hormones:Glycogenolytic hormones]	Antidiabetic		Oligopeptide	N	N	Single Stereoisomer	N	N	Y	N	N	Prescription-only	CSCC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@@H](NC(=O)[C@H](Cc3ccccc3)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](C)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CO)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc4ccc(O)cc4)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CO)NC(=O)[C@H](Cc5ccc(O)cc5)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@H](Cc6ccccc6)NC(=O)[C@@H](NC(=O)CNC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](CO)NC(=O)[C@@H](N)Cc7c[nH]cn7)[C@@H](C)O)[C@@H](C)O)C(C)C)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H]([C@@H](C)O)C(=O)O
453911	CHEMBL487253	Bendamustine (INN); Bendamustine HCl (FDA, USAN)	4	SDX-105	Cephalon Inc	-mustine	antineoplastics (chloroethylamine derivatives)	-mustine	2004	2008	L01AA09	L01AA09 [Antineoplastic And Immunomodulating Agents:Antineoplastic Agents:Alkylating Agents:Nitrogen mustard analogues]		US-8344006-B2	Synthetic Small Molecule	Y	N	Achiral Molecule	N	N	Y	N	N	Prescription-only	Cn1c(CCCC(=O)O)nc2cc(ccc12)N(CCCl)CCCl
825392	CHEMBL1401508	Silibinin (INN)									A05BA03	A05BA03 [Alimentary Tract And Metabolism:Bile And Liver Therapy:Liver Therapy, Lipotropics:Liver therapy]			Synthetic Small Molecule	Y	N	Racemic Mixture	N						COc1cc(ccc1O)C2Oc3cc(ccc3OC2CO)C4Oc5cc(O)cc(O)c5C(=O)C4O
558497	CHEMBL560976	Dibekacin (BAN, INN, MI); Dibekacin Sulfate (JAN)				-kacin	antibiotics obtained from Streptomyces kanamyceticus (related to kanamycin)	-kacin			J01GB09	J01GB09 [Antiinfectives For Systemic Use:Antibacterials For Systemic Use:Aminoglycoside Antibacterials:Other aminoglycosides]			Natural Product-derived	N	N	Single Stereoisomer	N						NC[C@@H]1CC[C@@H](N)[C@@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)O1
517626	CHEMBL471638	Valrocemide (INN, USAN)		TV-1901					2004						Synthetic Small Molecule	Y	N	Achiral Molecule	N						CCCC(CCC)C(=O)NCC(=O)N
898784	CHEMBL1474900	Olprinone (INN)				-rinone	cardiotonics (amrinone type)	-rinone							Synthetic Small Molecule	Y	N	Achiral Molecule	N						CC1=C(C=C(C#N)C(=O)N1)c2ccc3nccn3c2
22979	CHEMBL19892	Fanapanel (INN)				-panel	AMPA receptor antagonists	-panel							Synthetic Small Molecule	Y	N	Achiral Molecule	N						OP(=O)(O)CN1C(=O)C(=O)Nc2cc(c(cc12)N3CCOCC3)C(F)(F)F
441029	CHEMBL270995	Brivanib Alaninate (INN, USAN)		BMS-582664		-anib	angiogenesis inhibitors	-anib	2005						Synthetic Small Molecule	Y	N	Single Stereoisomer	N						C[C@H](COc1cn2ncnc(Oc3ccc4[nH]c(C)cc4c3F)c2c1C)OC(=O)[C@H](C)N
331146	CHEMBL194378	Psilocybine (BAN, DCF, INN, MI)		CY-39											Synthetic Small Molecule	Y	N	Achiral Molecule	N						CN(C)CCc1c[nH]c2cccc(OP(=O)(O)O)c12
10959	CHEMBL12314	Mesulergine (INN, MI)				-erg-	ergot alkaloid derivatives	-erg-							Natural Product-derived	Y	N	Single Stereoisomer	N						CN(C)S(=O)(=O)N[C@H]1C[C@H]2[C@@H](Cc3cn(C)c4cccc2c34)N(C)C1
63952	CHEMBL42442	Oxfendazole (BAN, INN, USAN, USP)		RS-8858	Syntex				1976				Anthelmintic		Synthetic Small Molecule	Y	N	Achiral Molecule	N						COC(=O)Nc1nc2cc(ccc2[nH]1)[S+]([O-])c3ccccc3
